kind,action_count,beta,User,Item,baseline_rho_mat,max_rho_mat,max_rank_mat,updated_baseline_rho_mat,updated_baseline_rank_mat,lift,updated_rank_gain,updated_lift,baseline_rank_mat,log_baseline_rho,log_max_rho,log_lift,fancy_kind,new_log_lift
next_k,10,1.0,16,1851.6666666666667,0.00029469063521395247,0.00124117736085095,540.5060240963855,0.0002897325197426618,1760.9738955823293,10.443921558881923,1220.4678714859438,5.043356800012938,,-8.24739707058489,-7.549506868857824,0.6978902017270704,Next K,0.7027196940753189
next_k,10,1.0,29,1809.8744939271255,0.0002753169561634974,0.002626175416791653,377.3238866396761,0.00027218863451999593,1762.2975708502024,26.468901118838865,1384.9736842105262,20.35664105943335,,-8.344130392620258,-7.386923877642786,0.9572065149774667,Next K,1.3087061189644076
next_k,10,1.0,34,1791.7748478701826,0.00029133633757411233,0.002797661771128927,720.0141987829614,0.0002882320636089577,1743.1663286004057,40.873453498612776,1023.1521298174442,15.377949917175341,,-8.361121538443111,-7.561791203455937,0.7993303349871622,Next K,1.186898442162256
next_k,10,1.0,43,1892.6108870967741,0.0002915296785894614,0.002223197103612032,664.7258064516129,0.0002893711595619138,1714.3770161290322,51.8474486014748,1049.6512096774193,10.128574548019396,,-8.274218616565609,-7.694636691292355,0.5795819252732574,Next K,1.0055483289249707
next_k,10,1.0,45,1760.2084168336673,0.0003083962767981058,0.000523910309662885,1705.0200400801602,1.661049715309328e-05,1851.320641282565,591.7412727507016,146.3006012024048,54.06768821325895,,-19.04755323856804,-17.826239362659233,1.2213138759088191,Next K,1.7329378007261935
next_k,10,1.0,62,1824.5587044534414,0.00027453626599310875,0.0012092013327488567,917.2591093117409,0.00025588188666746743,1779.8016194331983,57.85370723754741,862.5425101214574,7.651990745206559,,-8.482268752239284,-7.905435126704592,0.5768336255346781,Next K,0.8837744360928232
next_k,10,1.0,75,1906.2645290581163,0.0002812957754981886,0.0016629991433834326,716.9719438877755,0.00029076087673422796,1882.2745490981963,14.084686872416322,1165.3026052104208,5.621832643628929,,-8.309995698269875,-7.709475758765581,0.6005199395043025,Next K,0.7498779129487091
next_k,10,1.0,104,1856.6506024096386,0.0002778976278967748,0.0023213687110229257,761.3052208835342,0.00028813042838504515,1828.4799196787149,29.60713859407873,1067.1746987951808,8.71467241659409,,-8.354192751976868,-7.76240990492818,0.5917828470486949,Next K,0.940251066679583
next_k,10,1.0,118,1866.070564516129,0.0002815146044773704,0.0029851828847961438,471.3225806451613,0.0002816780286389569,1731.8770161290322,23.111148385219487,1260.554435483871,15.640560209136044,,-8.295698507097102,-7.484835062457721,0.8108634446393745,Next K,1.194252304438618
next_k,10,1.0,127,1823.6973947895792,0.00026819214942548885,0.0005184244274119632,1563.376753507014,0.00015287170852724822,1846.633266533066,6.299640491814691,283.2565130260521,2.571645219480944,,-9.085727386820992,-8.828604984790726,0.25712240203026876,Next K,0.4102110537352718
next_k,10,1.0,152,1908.8649193548388,0.0002622793317948275,0.0005407877605820577,1729.1612903225807,3.591775741272744e-05,1843.203629032258,49.474344288037564,114.04233870967742,4.145769857188456,,-11.078190825035577,-10.93154539816635,0.14664542686921245,Next K,0.6176051895747037
next_k,10,1.0,171,1875.120481927711,0.0002740824168304575,0.002111227667857904,645.925702811245,0.0002603237764156241,1848.8212851405622,19.149239453842398,1202.8955823293172,12.466932148078687,,-8.418249483566425,-7.58448821876636,0.8337612648000676,Next K,1.095759595813812
next_k,10,1.0,231,1917.5845213849286,0.0002822369954878195,0.0018173661120308156,348.3645621181263,0.0002797375020036751,1777.215885947047,16.74390176101187,1428.8513238289206,12.395386195649495,,-8.457661035978674,-7.378415760706702,1.0792452752719697,Next K,1.0932600623685975
next_k,10,1.0,281,1803.342799188641,0.00026945031981532024,0.0031865455652551333,273.0101419878296,0.0002695574285143596,1811.6713995943205,62.11951474574428,1538.6612576064908,59.423126549862744,,-8.440100758137648,-7.198507775586468,1.2415929825511849,Next K,1.7739554984880201
next_k,10,1.0,325,1850.792960662526,0.00029886923154520125,0.0026189970425016715,166.41821946169773,0.0002988692315452012,1676.4824016563148,14.87395055769603,1510.064182194617,14.87395055769604,,-8.239024081958652,-6.947972447734849,1.2910516342238036,Next K,1.1724263335212735
next_k,10,1.0,327,1826.8509316770187,0.0002772461898111726,0.004297865388114467,198.39337474120083,0.0002761741068371664,1754.2712215320912,70.0724946454621,1555.8778467908903,68.764240956141,,-8.311746768127719,-7.0121755055387665,1.2995712625889522,Next K,1.8373626534578982
next_k,10,1.0,336,1911.983870967742,0.0002888277288022449,0.00047853933180009895,1405.8245967741937,0.00019733975819915826,1706.6391129032259,16.34309717465265,300.81451612903226,1.6746564523512435,,-8.743239876549557,-8.561980293652708,0.18125958289685187,Next K,0.22392572710361353
